"Key","en","nl"
"your_lists_title","You are subscribed to:","Je bent aangemeld voor notificaties van:"
"no_subscriptions_error","You are not subscribed to any lists, foemp!","Je bent nog niet aangemeld bij een lijst, foemp!"
"notify_add_list_usage","<list name>","<lijst naam>"
"notify_add_list_brief","**admin-only** \n \u2003 Add a new list.","**admin-functie** \n \u2003 Voeg een nieuwe lijst toe."
"notify_add_list_help","*admin-only* \u2003 Add a new list.\nYou will be asked what emoji to use for this list. React to the question of the bot with an emoji that is not yet used for another list. \n\n <list name> \u2003 The name of the list to add.","*admin-functie* \u2003 Voeg een nieuwe lijst toe.\nJe zal gevraagd worden om een emoji toe te voegen. Reageer op de vraag met een emoji die nog niet voor een andere lijst gebruikt wordt.\n\n<lijst naam> \u2003 De naam van de lijst om toe te voegen."
"not_admin_gif","https://media.giphy.com/media/26gBjplxRU5EUhvlS/giphy.gif","https://gph.is/g/4w8PDNj"
"list_already_exists","{0} already exists, foemp!","{0} bestaat al, foemp!"
"list_emoji_request","What emoji do you want to use for {0}?","Welke emoji zou je willen gebruiken voor {0}?"
"unknown_emoji","Emoji not recognized. Try again with a standard emoji or a custom emoji from this server, foemp!","De emoji kon niet herkend worden. Probeer opnieuw met een standaard emoji, of een emoji van deze server, foemp!"
"emoji_already_in_use","This emoji is already used for a list, foemp!","Deze emoji is al in gebruik voor een lijst, foemp!"
"add_list_success","The list {0} was saved with emoji {1}!","De lijst {0} werd opgeslagen met emoji {1}!"
"notify_remove_list_usage","<list name>","<lijst naam>"
"notify_remove_list_brief","**admin-only**\n\u2003 Remove a list.","**admin-functie**\n\u2003 Verwijder een lijst."
"notify_remove_list_help","*admin-only* \u2003 Remove a list.\n\n<list name> \u2003 The name of the list to remove.","*admin-functie* \u2003 Verwijder een lijst.\n\n<lijst naam> \u2003 De naam van de lijst om te verwijderen."
"confirmation_question","Are you sure?","Weet je het zeker?"
"remove_list_success","The list {0} was removed.","De lijst {0} is verwijderd."
"remove_list_cancel","{0} won't be removed.","{0} wordt niet verwijderd."
"settings_add_admin_usage","<user mention>","<gebruiker tag>"
"settings_add_admin_brief","**admin-only**\n\u2003 Add a bot admin.","**admin-functie**\n\u2003 Voeg een bot admin toe."
"settings_add_admin_help","*admin-only* \u2003 Add a bot admin. The user will be given access to the bot commands that are labelled **admin-only**. The user will not be given the role of server admin. \n\n<user mention> \u2003 Mention the user that you want to make a bot admin.","*admin-functie* \u2003 Voeg een bot admin toe. De gebruiker zal toegang krijgen tot de **admin funties** van de bot, maar geen extra rechten op de discord server. \n\n<gebruiker tag> \u2003 Link de gebruiker die je admin wilt maken."
"settings_remove_admin_usage","<user mention>","<gebruiker tag>"
"settings_remove_admin_brief","**admin-only** \n\u2003 Remove a bot admin.","**admin-functie** \n\u2003 Verwijder een bot admin."
"settings_remove_admin_help","*admin-only* \u2003 Remove a bot admin. If the user also has the role of server admin, this role will not be revoked. \n\n<user mention> \u2003 Mention the user that you want to remove from the bot admins.","*admin-functie* \u2003 Verwijder een bot admin. Als de gebruiker ook server admin is, zal hij deze rol behouden en de **admin functies** nog steeds kunnen gebruiken. \n\n<gebruiker tag> \u2003 Link de gebruiker waarvan je de bot admin rechten wil intrekken."
"settings_bot_admins_brief","List the bot admins.","Toon alle bot admins."
"settings_bot_admins_help","List the current bot admins. Bot admins can use the **admin-only** commands, but do not have the role of server admin.","Toon alle bot admins. Bot admins kunnen alle **admin-functies** gebruiken, maar krijgen niet automatisch extra rechten op discord."
"mention_required","You should mention a user, foemp!","Je bent de mention vergeten, foemp!"
"bot_admin_error_discord_admin","{0} is a server admin, so no need to make them a bot admin, foemp!","{0} is al server admin, het is niet nodig om hem/haar/helicopter ook bot admin te maken, foemp!"
"bot_admin_error_already_admin","{0} already is a bot admin, foemp!","{0} is al bot admin, foemp!"
"bot_admin_add_success","{0} is now a bot admin.","{0} is nu bot admin."
"bot_admin_error_not_admin","{0} is not a bot admin, foemp!","{0} is geen bot admin, foemp!"
"bot_admin_confirm_remove_self","Are you sure you want to remove yourself as a bot admin?","Weet je zeker dat je je eigen bot admin rechten wilt intrekken?"
"bot_admin_remove_success","{0} is no longer a bot admin.","{0} is niet langer bot admin."
"bot_admin_remove_cancel","{0} won't be removed as a bot admin.","{0} mag bot admin blijven."
"bot_admin_confirm_remove","Are you sure you want to remove {0} as a bot admin?","Weet je zeker dat je {0} wilt verwijderen als bot admin?"
"bot_admin_err_no_admins","There are no bot admins.","Er zijn geen bot admins."
"bot_admin_list_prefix","The bot admins are:","De bot admins zijn:"
"err_missing_parameter","Command {0} requires more arguments. {1} is missing.","Commando {0} heeft meer parameters nodig. Je bent {1} vergeten."
"err_unrecognized_command","Unrecognized command!","Onbekend commando!"
"member_join_count","{0} now has {1} members! Congratulations!","{0} heeft nu {1} leden! Proficiat!"
"random_user_help","Select a random user.\n\nWith a channel name: Select a random user from the given channel.\n\n With parameter 'online': Select a random online user from the server.","Selecteer een willekeurige gebruiker.\n\nIndien je een kanaal aangeeft, wordt de gebruiker uit dat kanaal gekozen.\n\nIndien je als parameter 'online' meegeeft, wordt er een online gebruiker geselecteerd."
"random_user_usage","<channel name>","<kanaal naam>"
"random_user_brief","Select a random user.","Selecteer een willekeurige gebruiker."
"random_user_chosen","<@{0}> was chosen! Congratulations!","<@{0}> werd gekozen! proficiat!"
"random_user_no_channel","Please provide a channel name, foemp!","Gelieve een kanaal te kiezen, foemp!"
"settings_language_brief","Change the bot language.","Verander de ingestelde taal voor de bot."
"settings_language_help","Show the current language and suggest changes.","Toon de huidig ingestelde taal, en geef de optie om deze aan te passen."
"current_language","The current language is: {0}.","De huidige taal is: {0}."
"pick_new_language","Choose a new language:","Kies een nieuwe taal:"
"picked_new_language","The new language is: {0}.","De nieuwe taal is: {0}."
"esc_i_escaped_brief","Register that you played an escaperoom","Registreer dat je een escaperoom gespeeld hebt"
"esc_i_escaped_usage","<escaperoom name>","<naam van escaperoom>"
"esc_i_escaped_help","Register that you played escaperoom <escaperoom name>","Registreer dat je de escaperoom <naam van escaperoom> gespeeld hebt"
"esc_congratulations","Congratulations, you escaped {0} and we have noted this","Proficiat, je bent ontsnapt uit {0} en dat hebben we genoteerd."
"esc_no_such_room","But Foemp, that room does not exist!","Maar foemp, die escaperoom bestaat niet!"
"esc_noroom_give_list","Foemp, you didn't tell me which escaperoom, here's a list:\n - {0}","Foemp, je gaf me geen escaperoom aan, hier is een lijstje:\n - {0}"
"esc_registered","OK {0}, you've registered for the session","OK {0}, je bent geregistreerd voor de sessie"
"esc_already_registered","Already registered {0}, dear Foemp","{0}, je bent al geregistreerd, beste foemp."
"esc_confirm_deregister","OK {0}, You are no longer registered for the session","OK {0}, je bent niet langer geregistreerd voor de sessie"
"esc_where_escaped_brief","Check which escaperooms a user has played","Bekijk welke escaperooms iemand al gespeeld heeft"
"esc_where_escaped_usage","[mentioned user]","[gebruiker tag]"
"esc_where_escaped_help","Without @-mention: list the escaperooms you have played.\nWith @-mention: list the escaperooms the mentioned user has played.","Zonder gebruiker tag: geeft de lijst van escaperooms die jij gespeeld hebt\n Met gebruiker tag: geeft de lijst van escaperooms die de door jouw getagde persoon gespeeld heeft"
"esc_user_has_played","{0} has played these escaperooms:\n - {1}","{0} speelde deze escaperooms:\n - {1}"
"esc_no_rooms_played","This Foemp has not played any rooms yet.","Deze foemp heeft nog geen escaperooms gespeeld"
"esc_who_escaped_brief","List the people that played a specific escaperoom","Lijst van wie een bepaalde escaperoom gespeeld heeft"
"esc_who_escaped_usage","[escaperoom name]","[naam van escaperoom]"
"esc_where_escaped_help","With an argument: list the people that played that escaperoom. \nWithout an argument: list all the available escaperooms.","Met argument: geeft lijst van wie [escaperoom naam] heeft gespeeld\nZonder argument: lijst van de beschikbare escaperooms"
"esc_room_played","{0} has been played by: {1}","{0} werd reeds gespeeld door: {1}"
"esc_room_not_played","Nobody has played {0} yet.","Niemand speelde {0} tot nu toe."
"esc_list_escaperooms","These are the available escaperooms: \n - {0}","Dit zijn de beschikbare escaperooms: \n - {0}"
"esc_lets_escape_brief","Plan a new escape session or get the current one","Plan een nieuwe escaperoom sessie of verkrijg de huidige"
"esc_lets_escape_usage","[escaperoom time hh:mm]","[tijd voor planning hh:mm]"
"esc_lets_escape_help","With an argument: sets up a new escaperoom game at given time. \nWithout an argument: let's you know when the game is taking place.","Met argument: plan een nieuwe sessie op de gegeven tijd.\nZonder argument: laat je weten of er een sessie gepland staat en geeft je de mogelijkheid om te registreren"
"esc_confirm_newtime","Registering game at: {0} today","Escaperoom tijd geregistreerd om {0} vandaag"
"esc_already_scheduled","Sorry, There's already a game scheduled today","Sorry, er staat al een spel op de planning vandaag"
"esc_when_escape_brief","Check when there is an escaperoom session today","Bekijk wanneer er een escaperoom sessie is vandaag"
"esc_when_escape_help","Check when there is an escaperoom session today with the option to register","Bekijk wanneer er een escaperoom sessie is vandaag met de optie om te registreren"
"esc_room_today_at","Escaperoom today at: **{0}**","Escaperoom sessie vandaag om **{0}**"
"esc_room_today_players","\n\nThe following players are taking part:{0}\n\nRegister by clicking the {1} below","\n\nDe volgende spelers doen mee:{0}.\n\nRegistreer jezelf door op {1} te klikken."
"esc_room_today_nolayers",", no players registered yet.\n\nRegister by clicking the {0} below",", nog geen spelers geregistreerd,\n\nRegistreer jezelf door op {0} te klikken."
"esc_not_scheduled","No escaperoom session has been scheduled today. Schedule one with `lets_escape HH:MM`","Nog geen sessie gepland vandaag, plan er een met `lets_escape HH:MM`"
