"Key","en","nl"
"notify_add_list_usage","<list name>","<lijst naam>"
"notify_add_list_brief","**admin-only** \n \u2003 Add a new list.","**admin-functie** \n \u2003 Voeg een nieuwe lijst toe."
"notify_add_list_help","*admin-only* \u2003 Add a new list.\nYou will be asked what emoji to use for this list. React to the question of the bot with an emoji that is not yet used for another list. \n\n <list name> \u2003 The name of the list to add.","*admin-functie* \u2003 Voeg een nieuwe lijst toe.\nJe zal gevraagd worden om een emoji toe te voegen. Reageer op de vraag met een emoji die nog niet voor een andere lijst gebruikt wordt.\n\n<lijst naam> \u2003 De naam van de lijst om toe te voegen."
"not_admin_gif","https://media.giphy.com/media/26gBjplxRU5EUhvlS/giphy.gif","https://gph.is/g/4w8PDNj"
"list_already_exists","{0} already exists, foemp!","{0} bestaat al, foemp!"
"list_emoji_request","What emoji do you want to use for {0}?","Welke emoji zou je willen gebruiken voor {0}?"
"unknown_emoji","Emoji not recognized. Try again with a standard emoji or a custom emoji from this server, foemp!","De emoji kon niet herkend worden. Probeer opnieuw met een standaard emoji, of een emoji van deze server, foemp!"
"emoji_already_in_use","This emoji is already used for a list, foemp!","Deze emoji is al in gebruik voor een lijst, foemp!"
"add_list_success","The list {0} was saved with emoji {1}!","De lijst {0} werd opgeslagen met emoji {1}!"
"notify_remove_list_usage","<list name>","<lijst naam>"
"notify_remove_list_brief","**admin-only**\n\u2003 Remove a list.","**admin-functie**\n\u2003 Verwijder een lijst."
"notify_remove_list_help","*admin-only* \u2003 Remove a list.\n\n<list name> \u2003 The name of the list to remove.","*admin-functie* \u2003 Verwijder een lijst.\n\n<lijst naam> \u2003 De naam van de lijst om te verwijderen."
"confirmation_question","Are you sure?","Weet je het zeker?"
"remove_list_success","The list {0} was removed.","De lijst {0} is verwijderd."
"remove_list_cancel","{0} won't be removed.","{0} wordt niet verwijderd."
"snooze_lose","You snooze, you lose!","Te traag, foemp!"
"settings_add_admin_usage","<user mention>","<gebruiker tag>"
"settings_add_admin_brief","**admin-only**\n\u2003 Add a bot admin.","**admin-functie**\n\u2003 Voeg een bot admin toe."
"settings_add_admin_help","*admin-only* \u2003 Add a bot admin. The user will be given access to the bot commands that are labelled **admin-only**. The user will not be given the role of server admin. \n\n<user mention> \u2003 Mention the user that you want to make a bot admin.","*admin-functie* \u2003 Voeg een bot admin toe. De gebruiker zal toegang krijgen tot de **admin funties** van de bot, maar geen extra rechten op de discord server. \n\n<gebruiker tag> \u2003 Link de gebruiker die je admin wilt maken."
"settings_remove_admin_usage","<user mention>","<gebruiker tag>"
"settings_remove_admin_brief","**admin-only** \n\u2003 Remove a bot admin.","**admin-functie** \n\u2003 Verwijder een bot admin."
"settings_remove_admin_help","*admin-only* \u2003 Remove a bot admin. If the user also has the role of server admin, this role will not be revoked. \n\n<user mention> \u2003 Mention the user that you want to remove from the bot admins.","*admin-functie* \u2003 Verwijder een bot admin. Als de gebruiker ook server admin is, zal hij deze rol behouden en de **admin functies** nog steeds kunnen gebruiken. \n\n<gebruiker tag> \u2003 Link de gebruiker waarvan je de bot admin rechten wil intrekken."
"settings_bot_admins_brief","List the bot admins.","Toon alle bot admins."
"settings_bot_admins_help","List the current bot admins. Bot admins can use the **admin-only** commands, but do not have the role of server admin.","Toon alle bot admins. Bot admins kunnen alle **admin-functies** gebruiken, maar krijgen niet automatisch extra rechten op discord."
"mention_required","You should mention a user, foemp!","Je bent de mention vergeten, foemp!"
"bot_admin_error_discord_admin","{0} is a server admin, so no need to make them a bot admin, foemp!","{0} is al server admin, het is niet nodig om hem/haar/helicopter ook bot admin te maken, foemp!"
"bot_admin_error_already_admin","{0} already is a bot admin, foemp!","{0} is al bot admin, foemp!"
"bot_admin_add_success","{0} is now a bot admin.","{0} is nu bot admin."
"bot_admin_error_not_admin","{0} is not a bot admin, foemp!","{0} is geen bot admin, foemp!"
"bot_admin_confirm_remove_self","Are you sure you want to remove yourself as a bot admin?","Weet je zeker dat je je eigen bot admin rechten wilt intrekken?"
"bot_admin_remove_success","{0} is no longer a bot admin.","{0} is niet langer bot admin."
"bot_admin_remove_cancel","{0} won't be removed as a bot admin.","{0} mag bot admin blijven."
"bot_admin_confirm_remove","Are you sure you want to remove {0} as a bot admin?","Weet je zeker dat je {0} wilt verwijderen als bot admin?"
"bot_admin_err_no_admins","There are no bot admins.","Er zijn geen bot admins."
"bot_admin_list_prefix","The bot admins are:","De bot admins zijn:"
"err_missing_parameter","Command {0} requires more arguments. {1} is missing.","Commando {0} heeft meer parameters nodig. Je bent {1} vergeten."
"err_unrecognized_command","Unrecognized command!","Da kennek nie, foemp!"
"member_join_count","{0} now has {1} members! Congratulations!","{0} heeft nu {1} leden! Proficiat!"
"random_user_help","Select a random user.\n\nWith a channel name: Select a random user from the given channel.\n\n With parameter 'online': Select a random online user from the server.","Selecteer een willekeurige gebruiker.\n\nIndien je een kanaal aangeeft, wordt de gebruiker uit dat kanaal gekozen.\n\nIndien je als parameter 'online' meegeeft, wordt er een online gebruiker geselecteerd."
"random_user_usage","<channel name>","<kanaal naam>"
"random_user_brief","Select a random user.","Selecteer een willekeurige gebruiker."
"random_user_chosen","<@{0}> was chosen! Congratulations!","<@{0}> werd gekozen! proficiat!"
"random_user_no_channel","Please provide a channel name, foemp!","Gelieve een kanaal te kiezen, foemp!"
"settings_language_brief","Change the bot language.","Verander de ingestelde taal voor de bot."
"settings_language_help","Show the current language and suggest changes.","Toon de huidig ingestelde taal, en geef de optie om deze aan te passen."
"current_language","The current language is: {0}.","De huidige taal is: {0}."
"pick_new_language","Choose a new language:","Kies een nieuwe taal:"
"picked_new_language","The new language is: {0}.","De nieuwe taal is: {0}."
"nl","Dutch","Nederlands"
"en","English","Engels"
"notif_too_long","Your message is {0} characters too long for the Discord bot","Je bericht is {0} tekens te lang, probeer met een korter bericht."
"add_youtube_usage","<YouTube channel ID> <text channel ID or name>","<YouTubekanaal ID> <tekstkanaal ID of naam>"
"add_youtube_help","**admin-only** \n \u2003 Add a new YouTube notification listener. Every 10 minutes there is a check for new posted videos.","**admin-functie** \n \u2003 Voeg een nieuwe YouTube melder voor nieuwe video's toe. Elke 10 minuten wordt er gekeken of er nieuwe video's zijn."
"remove_youtube_usage","<YouTube channel ID>","<YouTubekanaal ID>"
"remove_youtube_help","**admin-only** \n \u2003 Remove a YouTube notification listener","**admin-functie** \n \u2003 Verwijder een YouTube melder voor nieuwe video's"
"list_youtube_help","Give an overview of all new YouTube video notifiers.","Geef een overzicht van alle YouTube nieuwe video melders"
"youtube_list_title","The following YouTube notifiers are currently active:","De volgende YouTube melders zijn momenteel actief:"
"youtube_added","Added a notifier for `{0}` to be posted in text channel {1}","Notificaties werden toegevoegd voor `{0}` in het {1} kanaal"
"youtube_exists","Notifier for `{0}` already exists","Notificaties voor `{0}` bestaan al."
"youtube_removed","Removed notifier for `{0}`","Notificaties voor `{0}` werden verwijderd"
"youtube_no_exists","There is no notifier for `{0}`","Er zijn momenteel geen notificaties voor `{0}`"
"lists_page_count","({0} of {1})","({0} van {1})"
"message","Message:","Bericht:"
"poll_no_questionmark","No questionmark in your input, sorry.","Er ontbreekt een vraagteken in je invoer, foemp!"
"poll_no_timeout","No timeout provided. I've put it to {0} minutes","Je hebt geen timeout (verlooptijd) voorzien, foemp! Ik heb er {0} minuten van gemaakt."
"poll_max_timeout","Timeout should not be longer than {0} minutes. I've put it to {0} minutes","De timeout (verlooptijd) mag niet langer zijn dan {0} minuten, foemp! Ik heb dus {0} minuten ingesteld."
"poll_start","<@{0}> is starting a poll with the following question:\n\n**{1}?**\n","<@{0}> is een peiling begonnen met de volgende vraag:\n\n**{1}?**\n"
"poll_yes_no","{0} - Yes\n{1} - No","{0} - Ja\n{1} - Nee"
"poll_results","{0} **The poll of  <@{1}> has ended**\n*{2}?*\n\n","{0} **De peiling van <@{1}> is afgelopen**\n*{2}*?\n\n"
"poll_votes","{0} - {1}\n","{0} - {1}\n"
"poll_usage","<question>?<timeout(minutes)> [answer 1];[answer 2];...;[answer 9]","<vraag>?<timeout (minuten)> [antwoord 1];[antwoord 2];...;[antwoord 9]"
"poll_brief","Put a poll out for people to vote","Maak een peiling waarin mensen kunnen stemmen"
"poll_help","Start a poll, with minimal arguments this will be a yes/no poll, if you provide options seperated by semicolons you can add up to 9 options.","Start een peiling, met minimale opties wordt dit een Ja/Nee peiling die <timeout> minuten duurt. Indien je zelf opties meegeeft door puntkomma gescheiden kunnen dat er maximaal 9 zijn."
"empty_wombat_list","No wombat pictures were found...","Er werden geen foto's van wombats gevonden..."
